timestamp,BTC close(USD),BTC mktcap(USD),ETH close(USD),ETH mktcap(USD),BNB close(USD),BNB mktcap(USD),XRP close(USD),XRP mktcap(USD),ADA close(USD),ADA mktcap(USD),LTC close(USD),LTC mktcap(USD),XLM close(USD),XLM mktcap(USD),EOS close(USD),EOS mktcap(USD),QTUM close(USD),QTUM mktcap(USD),TRX close(USD),TRX mktcap(USD)
2019-11-20,8098.01,32466.23098,174.72,216315.93309,18.0826,1209633.01,0.25014,78924129.3,0.0409,124310235.2,54.98,224543.3721,0.06402,35835411.5,3.0805,6671828.73,1.901,1060389.122,0.01655,520547876.5
2019-11-19,8133.64,43556.061025,175.94,275886.6411,18.4997,1218553.06,0.25398,87899568.3,0.04212,184193279.8,55.13,245040.39116,0.0656,61594261.9,3.12,9446196.27,1.926,2194891.443,0.01695,653693856.6
2019-11-18,8187.17,43017.69094,178.2,293551.23632,19.0817,1370495.1,0.25179,99156396.1,0.04315,233839569.5,55.81,297441.77936,0.06697,76835366.2,3.181,9215243.31,1.964,1189639.327,0.01715,707326585.9
2019-11-17,8502.4,27009.037082,183.82,198892.4372,20.194,1154323.15,0.26311,52073288.4,0.04501,140267110.5,59.22,190026.97121,0.07157,31012795.2,3.3958,3887655.66,2.13,826767.435,0.01874,393661234.4
2019-11-16,8491.02,20902.299752,182.37,172801.52576,20.1631,1001272.54,0.26218,52279882.0,0.04386,106158266.5,58.3,135649.0746,0.07126,30060711.3,3.3736,2701799.6,2.145,609252.507,0.01866,366244960.8
2019-11-15,8471.73,46087.417751,180.0,407466.78964,20.2735,1367539.25,0.26069,111865363.4,0.04388,137154486.2,57.6,333621.34492,0.07214,56154483.6,3.3334,7669539.7,2.17,1636661.83,0.01858,677321078.0
2019-11-14,8646.68,33468.468961,184.92,245505.29971,21.3166,1177736.52,0.26795,72326033.6,0.04279,78278963.8,59.0,289462.24048,0.07414,54686021.2,3.3953,4381838.39,2.308,2278313.558,0.01941,684147622.0
2019-11-13,8777.12,26810.116918,188.11,197273.84001,21.3846,1369703.62,0.27202,52680673.1,0.04326,76536950.9,60.96,175581.95546,0.07616,47601553.4,3.4714,4123933.86,2.266,1354524.238,0.02012,647116662.2
2019-11-12,8821.94,40366.629471,187.09,256782.63119,20.9798,1236966.44,0.27222,77851651.4,0.0437,149899360.0,61.42,299770.7716,0.07686,172008305.7,3.4824,6593303.19,2.25,2314602.942,0.01968,803165561.3
2019-11-11,8733.27,44888.053545,184.98,255579.93429,20.0888,1002832.24,0.27423,69450589.5,0.04315,100718070.0,61.84,409179.59195,0.08,124523004.4,3.4372,5105031.36,2.109,10460776.096,0.01909,567485926.6
2019-11-10,9039.47,34422.029797,188.96,274940.53448,20.4333,1289880.02,0.27894,72586430.6,0.04384,112901408.8,63.65,437892.99669,0.07892,173093212.2,3.5828,6479819.98,2.185,9825610.713,0.01934,609861904.5
2019-11-09,8809.41,29469.481405,184.89,192073.38044,19.6999,886139.1,0.2799,62848374.8,0.04241,58476387.7,62.04,196430.96635,0.07314,45410391.5,3.488,3548863.29,2.136,3346136.403,0.01894,372103249.8
2019-11-08,8773.73,62107.289243,183.74,365029.75027,19.646,1087142.07,0.27547,165657651.6,0.04216,141076737.1,60.38,347351.93739,0.07116,137545601.5,3.4114,8143795.07,2.153,9433965.596,0.01876,714745312.5
2019-11-07,9216.2,39117.470853,186.68,309882.08206,20.4208,1034081.11,0.29061,235871367.3,0.04342,137269569.3,61.39,327504.17073,0.07423,191465420.4,3.4661,7090156.55,2.205,6420439.752,0.01951,752675826.7
2019-11-06,9339.05,37336.170372,191.16,343219.9224,20.7,1304183.99,0.31009,107581885.7,0.04475,145972895.2,64.11,334742.14328,0.07684,193481055.5,3.6039,7558142.58,2.283,5520222.173,0.02013,910078675.3
