timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-01-02,126.20000000,142.00000000,123.15000000,136.96000000,126.20000000,142.00000000,123.15000000,136.96000000,2442266.76500000,2442266.76500000
2021-01-01,124.22000000,133.97000000,122.89000000,126.24000000,124.22000000,133.97000000,122.89000000,126.24000000,1539801.80815000,1539801.80815000
2020-12-31,130.06000000,130.35000000,121.98000000,124.21000000,130.06000000,130.35000000,121.98000000,124.21000000,1248723.03424000,1248723.03424000
2020-12-30,128.80000000,133.11000000,122.63000000,130.05000000,128.80000000,133.11000000,122.63000000,130.05000000,1727676.64100000,1727676.64100000
2020-12-29,129.84000000,130.90000000,120.00000000,128.80000000,129.84000000,130.90000000,120.00000000,128.80000000,1732248.38409000,1732248.38409000
2020-12-28,127.83000000,137.41000000,126.37000000,129.83000000,127.83000000,137.41000000,126.37000000,129.83000000,2349842.95502000,2349842.95502000
2020-12-27,129.61000000,139.47000000,121.88000000,127.88000000,129.61000000,139.47000000,121.88000000,127.88000000,3743173.13001000,3743173.13001000
2020-12-26,127.74000000,135.19000000,124.94000000,129.61000000,127.74000000,135.19000000,124.94000000,129.61000000,3461075.64730000,3461075.64730000
2020-12-25,111.13000000,128.63000000,108.18000000,127.78000000,111.13000000,128.63000000,108.18000000,127.78000000,3117913.94898000,3117913.94898000
2020-12-24,102.46000000,112.32000000,98.55000000,111.13000000,102.46000000,112.32000000,98.55000000,111.13000000,2696980.51697000,2696980.51697000
2020-12-23,114.31000000,117.29000000,95.23000000,102.45000000,114.31000000,117.29000000,95.23000000,102.45000000,3923591.07434000,3923591.07434000
2020-12-22,104.48000000,114.63000000,98.35000000,114.32000000,104.48000000,114.63000000,98.35000000,114.32000000,3210319.32528000,3210319.32528000
2020-12-21,114.59000000,118.65000000,100.31000000,104.45000000,114.59000000,118.65000000,100.31000000,104.45000000,2599527.81365000,2599527.81365000
2020-12-20,119.85000000,123.21000000,109.76000000,114.58000000,119.85000000,123.21000000,109.76000000,114.58000000,2671305.32839000,2671305.32839000
2020-12-19,109.34000000,124.24000000,105.31000000,119.85000000,109.34000000,124.24000000,105.31000000,119.85000000,2753360.19971000,2753360.19971000
2020-12-18,100.99000000,112.88000000,99.24000000,109.34000000,100.99000000,112.88000000,99.24000000,109.34000000,3141671.53609000,3141671.53609000
2020-12-17,92.94000000,109.80000000,90.00000000,101.01000000,92.94000000,109.80000000,90.00000000,101.01000000,4161454.89253000,4161454.89253000
2020-12-16,81.36000000,93.44000000,78.31000000,92.94000000,81.36000000,93.44000000,78.31000000,92.94000000,2349124.19924000,2349124.19924000
2020-12-15,82.38000000,84.93000000,80.39000000,81.32000000,82.38000000,84.93000000,80.39000000,81.32000000,1348469.20889000,1348469.20889000
2020-12-14,82.27000000,82.98000000,79.11000000,82.35000000,82.27000000,82.98000000,79.11000000,82.35000000,1102081.73026000,1102081.73026000
2020-12-13,76.64000000,84.38000000,75.52000000,82.28000000,76.64000000,84.38000000,75.52000000,82.28000000,1278882.98328000,1278882.98328000
2020-12-12,72.20000000,77.58000000,71.97000000,76.67000000,72.20000000,77.58000000,71.97000000,76.67000000,872394.12884000,872394.12884000
2020-12-11,74.77000000,75.09000000,69.87000000,72.20000000,74.77000000,75.09000000,69.87000000,72.20000000,1484095.85234000,1484095.85234000
2020-12-10,77.41000000,77.66000000,72.51000000,74.70000000,77.41000000,77.66000000,72.51000000,74.70000000,900570.55820000,900570.55820000
2020-12-09,76.75000000,78.14000000,72.13000000,77.41000000,76.75000000,78.14000000,72.13000000,77.41000000,1378314.59353000,1378314.59353000
2020-12-08,83.37000000,84.83000000,75.41000000,76.76000000,83.37000000,84.83000000,75.41000000,76.76000000,1230953.86975000,1230953.86975000
2020-12-07,83.54000000,86.87000000,81.73000000,83.37000000,83.54000000,86.87000000,81.73000000,83.37000000,1145446.47407000,1145446.47407000
2020-12-06,83.11000000,85.19000000,80.31000000,83.55000000,83.11000000,85.19000000,80.31000000,83.55000000,921046.75996000,921046.75996000
2020-12-05,79.52000000,84.28000000,78.61000000,83.14000000,79.52000000,84.28000000,78.61000000,83.14000000,1278363.44579000,1278363.44579000
2020-12-04,89.01000000,89.84000000,77.80000000,79.52000000,89.01000000,89.84000000,77.80000000,79.52000000,1701697.85317000,1701697.85317000
2020-12-03,88.89000000,91.50000000,85.46000000,89.00000000,88.89000000,91.50000000,85.46000000,89.00000000,1690248.45885000,1690248.45885000
2020-12-02,85.07000000,90.63000000,82.61000000,88.90000000,85.07000000,90.63000000,82.61000000,88.90000000,2135078.47937000,2135078.47937000
2020-12-01,87.66000000,93.01000000,79.56000000,85.08000000,87.66000000,93.01000000,79.56000000,85.08000000,3600461.26285000,3600461.26285000
2020-11-30,78.89000000,88.46000000,76.63000000,87.65000000,78.89000000,88.46000000,76.63000000,87.65000000,2118965.66781000,2118965.66781000
2020-11-29,72.68000000,81.07000000,71.51000000,78.91000000,72.68000000,81.07000000,71.51000000,78.91000000,1514540.21111000,1514540.21111000
2020-11-28,69.18000000,74.97000000,68.26000000,72.70000000,69.18000000,74.97000000,68.26000000,72.70000000,1483068.35897000,1483068.35897000
2020-11-27,70.99000000,73.50000000,65.30000000,69.15000000,70.99000000,73.50000000,65.30000000,69.15000000,1707521.50402000,1707521.50402000
2020-11-26,81.75000000,83.29000000,64.45000000,71.00000000,81.75000000,83.29000000,64.45000000,71.00000000,3435959.29518000,3435959.29518000
2020-11-25,89.27000000,90.76000000,78.05000000,81.75000000,89.27000000,90.76000000,78.05000000,81.75000000,1631940.24087000,1631940.24087000
2020-11-24,89.04000000,94.02000000,84.60000000,89.25000000,89.04000000,94.02000000,84.60000000,89.25000000,2621715.64303000,2621715.64303000
2020-11-23,82.87000000,90.93000000,80.80000000,89.03000000,82.87000000,90.93000000,80.80000000,89.03000000,2535636.06789000,2535636.06789000
2020-11-22,87.09000000,87.92000000,77.30000000,82.87000000,87.09000000,87.92000000,77.30000000,82.87000000,2048304.58082000,2048304.58082000
2020-11-21,82.55000000,88.50000000,80.10000000,87.14000000,82.55000000,88.50000000,80.10000000,87.14000000,2521719.40828000,2521719.40828000
2020-11-20,81.54000000,85.63000000,79.99000000,82.53000000,81.54000000,85.63000000,79.99000000,82.53000000,2386175.15236000,2386175.15236000
2020-11-19,73.41000000,83.40000000,71.47000000,81.53000000,73.41000000,83.40000000,71.47000000,81.53000000,2773824.05583000,2773824.05583000
2020-11-18,76.32000000,77.13000000,67.77000000,73.42000000,76.32000000,77.13000000,67.77000000,73.42000000,2653342.04102000,2653342.04102000
2020-11-17,73.83000000,77.00000000,71.36000000,76.32000000,73.83000000,77.00000000,71.36000000,76.32000000,2844994.89879000,2844994.89879000
2020-11-16,62.29000000,74.62000000,62.08000000,73.84000000,62.29000000,74.62000000,62.08000000,73.84000000,2526207.15962000,2526207.15962000
2020-11-15,63.83000000,64.43000000,61.08000000,62.28000000,63.83000000,64.43000000,61.08000000,62.28000000,685249.75502000,685249.75502000
2020-11-14,65.96000000,66.32000000,61.63000000,63.85000000,65.96000000,66.32000000,61.63000000,63.85000000,1017826.05829000,1017826.05829000
2020-11-13,60.72000000,66.66000000,60.14000000,65.96000000,60.72000000,66.66000000,60.14000000,65.96000000,1974381.67036000,1974381.67036000
2020-11-12,59.28000000,60.82000000,57.60000000,60.72000000,59.28000000,60.82000000,57.60000000,60.72000000,830578.26228000,830578.26228000
2020-11-11,57.94000000,60.53000000,57.80000000,59.27000000,57.94000000,60.53000000,57.80000000,59.27000000,824536.88147000,824536.88147000
2020-11-10,59.22000000,59.60000000,57.04000000,57.93000000,59.22000000,59.60000000,57.04000000,57.93000000,639990.21607000,639990.21607000
2020-11-09,61.00000000,61.86000000,57.37000000,59.23000000,61.00000000,61.86000000,57.37000000,59.23000000,997800.78526000,997800.78526000
2020-11-08,58.90000000,62.03000000,58.52000000,61.02000000,58.90000000,62.03000000,58.52000000,61.02000000,795875.09498000,795875.09498000
2020-11-07,63.22000000,64.77000000,57.00000000,58.90000000,63.22000000,64.77000000,57.00000000,58.90000000,1655539.62718000,1655539.62718000
2020-11-06,58.94000000,63.68000000,58.61000000,63.20000000,58.94000000,63.68000000,58.61000000,63.20000000,1735473.54314000,1735473.54314000
2020-11-05,54.70000000,59.73000000,54.62000000,58.95000000,54.70000000,59.73000000,54.62000000,58.95000000,1366335.62939000,1366335.62939000
2020-11-04,53.96000000,55.24000000,51.59000000,54.67000000,53.96000000,55.24000000,51.59000000,54.67000000,801009.79133000,801009.79133000
2020-11-03,53.82000000,54.37000000,51.13000000,53.96000000,53.82000000,54.37000000,51.13000000,53.96000000,672320.16238000,672320.16238000
2020-11-02,55.60000000,56.84000000,53.01000000,53.80000000,55.60000000,56.84000000,53.01000000,53.80000000,700498.49280000,700498.49280000
2020-11-01,55.69000000,56.19000000,54.07000000,55.60000000,55.69000000,56.19000000,54.07000000,55.60000000,369373.81151000,369373.81151000
2020-10-31,54.02000000,56.50000000,53.60000000,55.72000000,54.02000000,56.50000000,53.60000000,55.72000000,593903.97546000,593903.97546000
2020-10-30,54.88000000,55.78000000,52.20000000,54.01000000,54.88000000,55.78000000,52.20000000,54.01000000,706074.89769000,706074.89769000
2020-10-29,55.76000000,56.57000000,53.37000000,54.87000000,55.76000000,56.57000000,53.37000000,54.87000000,798253.73442000,798253.73442000
2020-10-28,57.90000000,60.55000000,54.71000000,55.77000000,57.90000000,60.55000000,54.71000000,55.77000000,1227549.68318000,1227549.68318000
2020-10-27,56.80000000,59.06000000,56.46000000,57.91000000,56.80000000,59.06000000,56.46000000,57.91000000,846694.24825000,846694.24825000
2020-10-26,58.83000000,59.31000000,54.94000000,56.82000000,58.83000000,59.31000000,54.94000000,56.82000000,937505.27029000,937505.27029000
2020-10-25,59.22000000,60.00000000,56.53000000,58.84000000,59.22000000,60.00000000,56.53000000,58.84000000,907068.98603000,907068.98603000
2020-10-24,55.41000000,59.64000000,54.83000000,59.23000000,55.41000000,59.64000000,54.83000000,59.23000000,945746.17086000,945746.17086000
2020-10-23,54.35000000,57.00000000,53.02000000,55.42000000,54.35000000,57.00000000,53.02000000,55.42000000,1079055.89232000,1079055.89232000
2020-10-22,52.98000000,56.31000000,52.97000000,54.35000000,52.98000000,56.31000000,52.97000000,54.35000000,1405890.00408000,1405890.00408000
2020-10-21,46.88000000,55.00000000,46.85000000,52.98000000,46.88000000,55.00000000,46.85000000,52.98000000,1425655.01750000,1425655.01750000
2020-10-20,47.99000000,48.46000000,46.36000000,46.88000000,47.99000000,48.46000000,46.36000000,46.88000000,399254.84677000,399254.84677000
2020-10-19,47.54000000,48.44000000,46.80000000,47.99000000,47.54000000,48.44000000,46.80000000,47.99000000,316808.83163000,316808.83163000
2020-10-18,46.92000000,47.98000000,46.78000000,47.54000000,46.92000000,47.98000000,46.78000000,47.54000000,164733.27305000,164733.27305000
2020-10-17,47.61000000,47.64000000,46.28000000,46.93000000,47.61000000,47.64000000,46.28000000,46.93000000,222964.85752000,222964.85752000
2020-10-16,49.52000000,49.84000000,45.60000000,47.60000000,49.52000000,49.84000000,45.60000000,47.60000000,603775.07786000,603775.07786000
2020-10-15,49.79000000,50.24000000,48.80000000,49.53000000,49.79000000,50.24000000,48.80000000,49.53000000,349966.03743000,349966.03743000
2020-10-14,49.90000000,51.04000000,49.27000000,49.79000000,49.90000000,51.04000000,49.27000000,49.79000000,381873.31223000,381873.31223000
2020-10-13,50.58000000,50.71000000,48.80000000,49.89000000,50.58000000,50.71000000,48.80000000,49.89000000,468445.05222000,468445.05222000
2020-10-12,50.48000000,51.50000000,49.24000000,50.58000000,50.48000000,51.50000000,49.24000000,50.58000000,622150.70858000,622150.70858000
2020-10-11,48.89000000,51.27000000,48.66000000,50.48000000,48.89000000,51.27000000,48.66000000,50.48000000,393329.63182000,393329.63182000
2020-10-10,47.78000000,50.46000000,47.76000000,48.88000000,47.78000000,50.46000000,47.76000000,48.88000000,426163.73877000,426163.73877000
2020-10-09,47.21000000,48.20000000,46.59000000,47.78000000,47.21000000,48.20000000,46.59000000,47.78000000,402514.89168000,402514.89168000
2020-10-08,46.56000000,47.50000000,45.45000000,47.21000000,46.56000000,47.50000000,45.45000000,47.21000000,412581.66491000,412581.66491000
